Natural Gas Feed (kmol/h),Steam Feed (kmol/h),Temperature (°C),Total Annual Cost (TAC) [$/h],Hydrogen Production  Nm^3/h,CO in Tail Gas [frac]
1438.29,4274.59,647.032,8.40E+07,98215.1,0.0889206
2080.24,5420.2,632.708,9.45E+07,106420,0.0784309
1910.23,4764.7,616.575,8.47E+07,94710.3,0.0637211
1527.27,3656.66,606.855,7.48E+07,85163.3,0.0544591
1776.38,6180.21,611.775,7.84E+07,81124.1,0.0616732
1320.15,3850.55,626.263,7.51E+07,86929.3,0.0689407
1938.48,3237.13,616.727,8.97E+07,106634,0.0658319
1417.69,6286.06,626.975,7.43E+07,76326.7,0.0770428
2387.13,5688.43,608.259,8.87E+07,94769.8,0.0565377
2354.69,3563.21,628.054,1.04E+08,124704,0.0802574
1435.05,3332.56,611.365,7.51E+07,87502.4,0.0556217
1269.42,5118.33,616.035,6.85E+07,72233.3,0.0679114
1638.12,3533.26,615.439,8.14E+07,95124.7,0.0599021
1290.33,3824.02,618.56,7.19E+07,82022.7,0.0636369
1860.8,5052.5,627.093,8.77E+07,98495.5,0.0731999
1781.82,4912.09,618.825,8.28E+07,91737.9,0.066586
2201.1,6191.21,614.837,8.79E+07,93150.4,0.062151
1602.96,5001.93,645.629,8.71E+07,99356.1,0.0917239
2101.76,4927.09,617.143,8.87E+07,99460.5,0.0640542
2262.49,4265.93,638.733,1.07E+08,127079,0.0826904
1906.37,4545.05,637.668,9.50E+07,111027,0.0809547
1950.54,4288.18,614.304,8.58E+07,97820,0.0611156
1517.55,3399.18,621.712,8.14E+07,96712.6,0.0622611
2150.38,3518.97,606.143,8.63E+07,99694.1,0.056767
1316.69,5593.94,644.95,7.61E+07,82626.4,0.0951813
1226.82,5613.53,614.872,6.64E+07,68070.4,0.0674678
1578.09,5886.89,601.218,7.12E+07,72198.6,0.0542471
2310.98,3525.53,615.556,9.45E+07,111596,0.066486
2019.06,3260.95,638.96,1.05E+08,128169,0.100452
1220.02,4957.3,603.593,6.43E+07,66653.6,0.0578295
2294.3,4212.5,601.981,8.53E+07,95062.3,0.0525446
2277.9,4706.3,608.673,8.81E+07,97910.5,0.0572621
1208.26,5819.86,617.609,6.64E+07,67551.9,0.0698851
2171.65,3614.92,648.359,1.13E+08,139783,0.102152
1738.86,4950.3,609.827,7.82E+07,85148.9,0.0593796
1577.61,5059.18,602.982,7.21E+07,76194.8,0.0551524
1800.42,4856.49,607.502,7.86E+07,85582.6,0.0572781
1406.03,3953.04,619.874,7.54E+07,86148.6,0.0648273
1478.34,3772.62,634.53,8.35E+07,98785.3,0.073306
2372.54,3730.75,612.358,9.33E+07,108210,0.062406
2254.84,3436.19,636.555,1.08E+08,131526,0.0954086
1754.32,5474.08,615.673,7.99E+07,86027,0.0649211
1810.02,5881.91,622.874,8.33E+07,89160.6,0.0710196
1580.94,4312.19,601.375,7.24E+07,79397.9,0.0524403
1862.92,5364.7,613.93,8.18E+07,88276.3,0.0628088
2058.82,4131.13,639.469,1.02E+08,122413,0.081488
1669.63,4610.76,620.502,8.11E+07,91464.1,0.0675152
1994.46,3480.15,602.932,8.22E+07,94296.3,0.0536861
1914.21,4511.52,607.204,8.13E+07,90303.6,0.0561911
1978.2,5372.03,624.754,8.87E+07,98549.7,0.0714785
1376.96,3746.07,604.574,7.00E+07,78593.3,0.0534947
1897.5,3442.02,629.91,9.58E+07,115725,0.0737086
2088.65,4554.36,609.388,8.54E+07,95500.8,0.0578353
1966.96,5878.91,638.225,9.29E+07,103010,0.0844972
1811.62,3324.48,627.373,9.27E+07,111749,0.0708448
1518.59,5361,614.576,7.41E+07,78685.6,0.0652336
1650.94,3503.38,616.184,8.23E+07,96608.6,0.0602613
2065.66,5966.67,646.933,9.89E+07,111438,0.0925011
1349.97,4997.43,640.821,7.73E+07,85804.5,0.0894548
1780,3484.74,642.69,9.88E+07,120997,0.0798428
1702.54,5103.47,633.128,8.57E+07,96220.9,0.0799005
1307.53,6256.68,634.055,7.28E+07,74986.3,0.0840109
1849.69,6033.62,608.781,7.90E+07,81697.9,0.0588787
1748.8,4216.77,646.158,9.52E+07,113380,0.0858973
1512.65,4990.46,644.314,8.37E+07,94813.3,0.091389
1249.56,4393.16,647.453,7.66E+07,87721.6,0.0931695
2113.47,4988.78,616.4,8.88E+07,98534.7,0.0637887
1691.01,6013.48,637.783,8.52E+07,92031.2,0.0857284
1961.02,3756.29,617.07,8.89E+07,104175,0.0631664
1448.69,6296.5,648.741,8.06E+07,85809.1,0.0978556
2064.27,5809.32,601.716,8.03E+07,83876.6,0.0524936
1853.88,4193.49,621.267,8.70E+07,100769,0.066786
1380.38,5319.92,645.447,7.88E+07,87013.3,0.0948286
2398.83,4628.75,621.421,9.76E+07,111682,0.0678063
1959.6,5012.66,605.521,8.04E+07,87579,0.0549882
1728.55,5502.14,649.238,9.08E+07,103128,0.0961626
1661.48,3521.98,637.252,9.22E+07,111481,0.0737525
2263.94,5265.02,600.595,8.34E+07,88853,0.0510346
2039.64,5108.28,640.092,9.78E+07,112881,0.0849
1949,3368.17,624.72,9.41E+07,113328,0.0712126
1353.99,3529.77,612.984,7.29E+07,84133,0.0574662
1212.34,5321.63,649.756,7.38E+07,80735.6,0.100001
1617.12,3752.2,605.281,7.61E+07,85905.7,0.0538959
1719.73,5854.48,637.726,8.61E+07,93952.9,0.0853336
2371.59,4512.48,637.559,1.07E+08,126798,0.0818522
1922.45,5163.35,617.918,8.50E+07,93741.1,0.0656366
2277.09,3939.97,610.743,9.06E+07,104073,0.0597446
2192.1,3202.72,637.943,1.07E+08,130462,0.12239
1234.92,4382.02,624.696,7.07E+07,78560.3,0.0727416
1376.09,5822.69,603.177,6.75E+07,67512.8,0.057179
1481.94,5942.17,628.287,7.66E+07,80868.2,0.0781583
1346.62,4160.42,637.488,7.83E+07,90740.9,0.0807343
1584.85,3713.55,638.692,8.92E+07,106719,0.0753192
1328.01,5604.56,628.211,7.25E+07,76688.6,0.0789754
2316.98,4972.35,632.146,1.01E+08,116563,0.0771986
1882.1,5401.96,615.508,8.28E+07,89730,0.0636477
2159.63,4794.2,615.277,8.92E+07,100204,0.0625977
1558.33,5427.92,635.473,8.17E+07,89518.5,0.0839066
1817.71,3301.09,625.36,9.17E+07,110630,0.0693818
1385.75,6254.61,605.658,6.83E+07,67660.6,0.059304
1313.28,5521.81,607.961,6.73E+07,68965.3,0.0614406
1244.37,5354.61,639.579,7.28E+07,78662.8,0.0900247
1756.94,6087.59,627.119,8.33E+07,88715.5,0.0752918
2061.86,3628.42,644.074,1.08E+08,131810,0.0888221
2087.32,3685.61,635.384,1.03E+08,124128,0.0799838
1425.27,5293.13,635.169,7.77E+07,84905.9,0.0844553
2123.08,5770.57,632.864,9.48E+07,105263,0.0784619
1828.58,3536,640.758,9.92E+07,121136,0.0794407
1370.09,5866.27,608.804,6.89E+07,69668.2,0.0620322
1422.29,5701.65,614.925,7.18E+07,74128.1,0.0664232
1597.7,3784.83,611.503,7.79E+07,89170.9,0.057823
2356.66,3238.79,622.781,9.99E+07,119899,0.0829217
2168.79,6381.88,640.141,9.78E+07,107140,0.0853557
1348.05,6380.18,600.526,6.62E+07,64499.7,0.0553281
1989.65,3749.29,630.119,9.69E+07,116204,0.0735566
1446.96,3401.94,648.621,8.90E+07,108301,0.0753504
1973.73,5176.59,630.034,9.14E+07,103270,0.0758286
1357.6,4578.16,648.671,8.07E+07,92276.5,0.0943648
1452.99,5775.97,646.811,8.09E+07,88119.8,0.0962535
1886.5,4240.03,613.008,8.37E+07,95380.8,0.0600244
2375.85,4356.02,611.16,9.17E+07,103686,0.0595502
2196.01,6040.13,619.706,9.01E+07,97088.6,0.0663856
1412.5,5955.76,616.404,7.18E+07,73685.7,0.0678801
2154,3456.81,640.245,1.08E+08,132679,0.0961369
1471.11,3359.92,617.014,7.84E+07,92086.2,0.0592058
1327.17,4276.45,622.94,7.30E+07,82214.2,0.0702491
1665.07,5421.82,604.026,7.40E+07,77810.9,0.0559218
1946.3,5214.17,614.204,8.39E+07,91888.6,0.0623797
1660.39,4878.31,649.371,9.07E+07,104981,0.0942824
2297.08,5907.65,603.497,8.50E+07,88788.2,0.0528632
1301.52,5724.92,629.956,7.19E+07,75996.2,0.0807103
1399.35,4831.89,631.865,7.68E+07,85415.4,0.0803369
1671.06,4024.83,616.098,8.10E+07,93086.8,0.0620381
1659.04,4439.52,634.367,8.67E+07,100353,0.0780716
1632.5,5832.73,611.825,7.55E+07,78639,0.0624063
1666.46,5914.25,649.064,8.80E+07,97415.9,0.0970902
2156.22,5840.4,646.561,1.02E+08,115419,0.0919456
1409.88,3764.82,645.527,8.45E+07,100809,0.0806165
2059.57,6357.87,630.447,9.15E+07,98296.4,0.0768222
1974.42,4107.18,645.371,1.03E+08,124094,0.0857275
2143.05,4292.77,626.099,9.61E+07,112271,0.0712711
1793.24,4729.63,607.826,7.89E+07,86389.6,0.0572996
1812.75,4124.13,636.811,9.37E+07,111179,0.0780871
1986.94,3857.91,606.265,8.33E+07,95008.1,0.0554097
2136.02,6011.75,637.077,9.64E+07,106671,0.082522
1315.53,4679.57,610.548,6.85E+07,73867.6,0.061877
2282.52,5470.16,643.426,1.05E+08,120031,0.0877264
1389.07,5027.7,640.6,7.83E+07,87306.4,0.0890777
2224.99,6277.49,624.602,9.24E+07,99316,0.0707069
2134.61,3828.12,611.903,8.89E+07,102824,0.0600618
1288.69,6184.21,649.981,7.53E+07,79712.8,0.0992073
1818.04,4153.45,608.422,8.06E+07,90611.3,0.0567884
2388.74,6108.66,645.087,1.06E+08,119803,0.0895173
1612.69,5346.11,626.021,8.03E+07,87605,0.0746682
1956,5893.92,605.241,7.99E+07,83099.6,0.0556943
1395.38,4532.26,628.474,7.62E+07,85833,0.0755356
1626.55,4008.02,617.192,8.04E+07,92280.8,0.0626102
1209.19,3964.59,641.091,7.45E+07,86116,0.0830606
1389.73,5485.71,642.419,7.80E+07,85550.3,0.0919725
1314.33,4693.84,645.344,7.79E+07,88040.7,0.0926148
1306.59,5135.03,622.614,7.08E+07,75890.3,0.0732589
1221.73,5194.08,622.115,6.84E+07,72420.8,0.0737818
1559.15,5950.53,641.756,8.25E+07,89540.6,0.0908269
2045.46,6241.36,631.741,9.16E+07,99432.2,0.0780994
1433.47,3232.7,612.852,7.61E+07,89387.8,0.0562355
2068.99,3208.72,601.028,8.23E+07,94726.2,0.0542249
1426.84,6342.87,614.646,7.16E+07,71783.8,0.0663062
1798.01,4012.43,605.805,7.92E+07,89244,0.0548593
1442.71,5563.58,630.284,7.63E+07,82108.4,0.0801
1725.85,4744.31,618.193,8.13E+07,90994.6,0.0660291
2180.25,5145.16,627.558,9.51E+07,107555,0.0731479
1765.39,5538.14,645.151,9.09E+07,101938,0.0919021
2140.89,5992.44,626.332,9.20E+07,100283,0.0725746
1285.97,5637.3,612.659,6.75E+07,69153.2,0.0655662
2211.31,4252.68,609.494,8.80E+07,99802.3,0.0579722
1542.5,4317.36,626.535,8.07E+07,92111.8,0.0716723
1522.93,4613.85,632.393,8.12E+07,92263.3,0.0781923
1657.47,5206.28,607.305,7.51E+07,79864.4,0.0580745
1361.27,6205.96,638.118,7.53E+07,78961.5,0.0877836
1605.24,3257.85,600.934,7.48E+07,86116.6,0.050405
1333.31,3360.49,643.929,8.30E+07,99567.7,0.0723807
1371.39,3808.33,630.617,7.83E+07,91232.3,0.0713002
1300.74,4767.37,635.35,7.47E+07,83028,0.0839695
1840.32,3353.91,608.724,8.31E+07,97113.1,0.0571002
1957.94,5115.27,612.738,8.37E+07,91577.2,0.0613022
2129.97,3716.21,606.09,8.58E+07,98554.8,0.0559447
1479.1,6121.54,602.612,6.95E+07,69070.1,0.0560683
1685.03,4695.08,627.83,8.42E+07,95391.6,0.0738295
2002.53,4015.19,603.672,8.19E+07,91978.9,0.0536724
1888.6,3911.38,633.268,9.51E+07,113607,0.0749996
2234.01,5373.28,634.401,9.91E+07,112678,0.0794076
2271.78,4452.61,631.043,1.01E+08,118708,0.0756861
2307.76,3395.83,609.149,9.04E+07,105204,0.0616712
1553.13,6269.52,613.243,7.41E+07,75480.2,0.0643519
1556.48,3244.29,633.039,8.84E+07,106805,0.0686698
1281.73,4641.72,602.561,6.55E+07,69265.4,0.0558583
1646.65,3328.44,621.575,8.53E+07,102165,0.0635806
2367.4,5590.22,636.302,1.03E+08,116692,0.0809361
1540.59,3477.87,625.864,8.35E+07,99181.8,0.0651926
1569.39,4257.2,606.355,7.41E+07,82266.2,0.0560949
2125.63,6176.51,621.318,8.90E+07,95590.4,0.0681114
1715.72,5606.5,628.01,8.31E+07,90385.4,0.0761798
1618.56,5125.74,613.094,7.63E+07,82404.5,0.0629633
1904.36,6044.72,623.437,8.56E+07,91461.4,0.0713152
1907.54,4814.43,636.605,9.35E+07,107781,0.0809942
2104.56,6362.94,610.554,8.43E+07,87550.1,0.0593665
2242.01,4435.44,630.776,1.00E+08,117988,0.0755496
1496.84,5694.61,635.68,7.93E+07,86034.3,0.0846631
1831.19,4232.37,625.93,8.86E+07,103155,0.0700155
1935.68,3379.08,633.756,9.93E+07,120931,0.0792012
2075.18,6229.52,648.404,9.92E+07,110573,0.0941174
2090.26,6339.34,637.37,9.48E+07,103548,0.0831761
1822.86,5129.41,607.924,7.88E+07,84893.2,0.0577059
2248.22,3649.73,607.01,8.82E+07,101432,0.0576043
